,Product Name,Description,Price
17,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/560"" title=""Acer Aspire ES1-732 Black"">Acer Aspire ES1-...</a>","<p class=""description"">Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home</p>","<h4 class=""pull-right price"">$410.46</h4>"
18,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/561"" title=""Asus VivoBook 15 X540NA-GQ026T"">Asus VivoBook 15...</a>","<p class=""description"">Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd</p>","<h4 class=""pull-right price"">$410.66</h4>"
19,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/516"" title=""Packard 255 G2"">Packard 255 G2</a>","<p class=""description"">15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1</p>","<h4 class=""pull-right price"">$416.99</h4>"
20,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/562"" title=""Asus EeeBook R416NA-FA014T"">Asus EeeBook R41...</a>","<p class=""description"">Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd</p>","<h4 class=""pull-right price"">$433.30</h4>"
21,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/563"" title=""Acer Aspire 3 A315-51"">Acer Aspire 3 A3...</a>","<p class=""description"">Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home</p>","<h4 class=""pull-right price"">$436.29</h4>"
22,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/564"" title=""Acer Aspire ES1-572 Black"">Acer Aspire ES1-...</a>","<p class=""description"">Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$436.29</h4>"
23,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/565"" title=""Acer Extensa 15 (2540) Black"">Acer Extensa 15...</a>","<p class=""description"">Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux</p>","<h4 class=""pull-right price"">$439.73</h4>"
24,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/566"" title=""Acer Aspire ES1-572 Black"">Acer Aspire ES1-...</a>","<p class=""description"">Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux</p>","<h4 class=""pull-right price"">$454.62</h4>"
25,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/567"" title=""Lenovo V110-15ISK"">Lenovo V110-15IS...</a>","<p class=""description"">Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$454.73</h4>"
26,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/568"" title=""Acer Aspire A315-51-33TG"">Acer Aspire A315...</a>","<p class=""description"">Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG</p>","<h4 class=""pull-right price"">$457.38</h4>"
27,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/569"" title=""Lenovo V110-15IKB"">Lenovo V110-15IK...</a>","<p class=""description"">Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS</p>","<h4 class=""pull-right price"">$465.95</h4>"
28,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/570"" title=""Asus VivoBook 15 X540UA-DM260 Chocolate Black"">Asus VivoBook 15...</a>","<p class=""description"">Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd</p>","<h4 class=""pull-right price"">$468.56</h4>"
29,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/571"" title=""Acer Aspire ES1-572 Black"">Acer Aspire ES1-...</a>","<p class=""description"">Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$469.10</h4>"
30,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/572"" title=""Lenovo V510 Black"">Lenovo V510 Blac...</a>","<p class=""description"">Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$484.23</h4>"
31,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/573"" title=""Acer Aspire ES1-572 Black"">Acer Aspire ES1-...</a>","<p class=""description"">Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux</p>","<h4 class=""pull-right price"">$485.90</h4>"
32,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/574"" title=""Lenovo V510 Black"">Lenovo V510 Blac...</a>","<p class=""description"">Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$487.80</h4>"
33,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/575"" title=""Acer Swift 1 SF113-31 Silver"">Acer Swift 1 SF1...</a>","<p class=""description"">Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$488.64</h4>"
34,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/531"" title=""Dell Vostro 15"">Dell Vostro 15</a>","<p class=""description"">Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux</p>","<h4 class=""pull-right price"">$488.78</h4>"
35,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/576"" title=""Acer Aspire 3 A315-51 Black"">Acer Aspire 3 A3...</a>","<p class=""description"">Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$494.71</h4>"
36,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/577"" title=""Dell Vostro 15 (3568) Red"">Dell Vostro 15 (...</a>","<p class=""description"">Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux</p>","<h4 class=""pull-right price"">$497.17</h4>"
37,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/578"" title=""Lenovo V510 Black"">Lenovo V510 Blac...</a>","<p class=""description"">Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$498.23</h4>"
38,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/527"" title=""HP 250 G3"">HP 250 G3</a>","<p class=""description"">15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1</p>","<h4 class=""pull-right price"">$520.99</h4>"
39,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/532"" title=""Acer Spin 5"">Acer Spin 5</a>","<p class=""description"">Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home</p>","<h4 class=""pull-right price"">$564.98</h4>"
40,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/529"" title=""HP 350 G1"">HP 350 G1</a>","<p class=""description"">15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows</p>","<h4 class=""pull-right price"">$577.99</h4>"
41,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/521"" title=""Aspire E1-572G"">Aspire E1-572G</a>","<p class=""description"">15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1</p>","<h4 class=""pull-right price"">$581.99</h4>"
42,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/523"" title=""Pavilion"">Pavilion</a>","<p class=""description"">15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1</p>","<h4 class=""pull-right price"">$609.99</h4>"
43,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/533"" title=""Acer Aspire A515-51-5654"">Acer Aspire A515...</a>","<p class=""description"">Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG</p>","<h4 class=""pull-right price"">$679.00</h4>"
44,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/534"" title=""Dell Inspiron 15"">Dell Inspiron 15</a>","<p class=""description"">Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux</p>","<h4 class=""pull-right price"">$679.00</h4>"
45,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/535"" title=""Asus VivoBook S14"">Asus VivoBook S1...</a>","<p class=""description"">Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd</p>","<h4 class=""pull-right price"">$729.00</h4>"
46,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/519"" title=""ProBook"">ProBook</a>","<p class=""description"">14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit</p>","<h4 class=""pull-right price"">$739.99</h4>"
47,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/524"" title=""Inspiron 15"">Inspiron 15</a>","<p class=""description"">Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,</p>","<h4 class=""pull-right price"">$745.99</h4>"
48,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/536"" title=""Asus ROG STRIX GL553VD-DM256"">Asus ROG STRIX G...</a>","<p class=""description"">Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS</p>","<h4 class=""pull-right price"">$799.00</h4>"
49,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/537"" title=""Acer Nitro 5 AN515-51"">Acer Nitro 5 AN5...</a>","<p class=""description"">Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$809.00</h4>"
50,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/538"" title=""Asus ROG STRIX GL553VD-DM256"">Asus ROG STRIX G...</a>","<p class=""description"">Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home</p>","<h4 class=""pull-right price"">$899.00</h4>"
51,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/539"" title=""Lenovo ThinkPad L570"">Lenovo ThinkPad...</a>","<p class=""description"">Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$999.00</h4>"
52,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/522"" title=""ThinkPad Yoga"">ThinkPad Yoga</a>","<p class=""description"">12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,</p>","<h4 class=""pull-right price"">$1033.99</h4>"
53,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/579"" title=""Lenovo ThinkPad L460"">Lenovo ThinkPad...</a>","<p class=""description"">Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1096.02</h4>"
54,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/580"" title=""Dell Inspiron 15 (7567) Black"">Dell Inspiron 15...</a>","<p class=""description"">Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1098.42</h4>"
55,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/581"" title=""MSI GL72M 7RDX"">MSI GL72M 7RDX</a>","<p class=""description"">MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1099.00</h4>"
56,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/582"" title=""MSI GL72M 7RDX"">MSI GL72M 7RDX</a>","<p class=""description"">Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd</p>","<h4 class=""pull-right price"">$1099.00</h4>"
57,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/583"" title=""Asus ROG Strix GL553VD-DM535T"">Asus ROG Strix G...</a>","<p class=""description"">Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS</p>","<h4 class=""pull-right price"">$1101.83</h4>"
58,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/584"" title=""Dell Latitude 5280"">Dell Latitude 52...</a>","<p class=""description"">Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1102.66</h4>"
59,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/585"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home</p>","<h4 class=""pull-right price"">$1110.14</h4>"
60,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/586"" title=""Lenovo Legion Y520-15IKBM"">Lenovo Legion Y5...</a>","<p class=""description"">Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home</p>","<h4 class=""pull-right price"">$1112.91</h4>"
61,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/587"" title=""Toshiba Portege Z30-C-16J Grey"">Toshiba Portege...</a>","<p class=""description"">Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1114.55</h4>"
62,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/588"" title=""Acer Predator Helios 300 (PH317-51)"">Acer Predator He...</a>","<p class=""description"">Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1123.87</h4>"
63,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/589"" title=""Acer Aspire 7 A715-71G"">Acer Aspire 7 A7...</a>","<p class=""description"">Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1123.87</h4>"
64,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/590"" title=""Dell Inspiron 17 2in1 (7779) Silver"">Dell Inspiron 17...</a>","<p class=""description"">Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1124.20</h4>"
65,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/591"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1133.82</h4>"
66,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/592"" title=""Lenovo Legion Y520"">Lenovo Legion Y5...</a>","<p class=""description"">Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1133.91</h4>"
67,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/593"" title=""Asus AsusPro Advanced BU401LA-FA271G Dark Grey"">Asus AsusPro Adv...</a>","<p class=""description"">Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG</p>","<h4 class=""pull-right price"">$1139.54</h4>"
68,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/594"" title=""Acer Nitro 5 AN515-51"">Acer Nitro 5 AN5...</a>","<p class=""description"">Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home</p>","<h4 class=""pull-right price"">$1140.62</h4>"
69,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/595"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1143.40</h4>"
70,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/596"" title=""Dell Inspiron 15 (7567) Black"">Dell Inspiron 15...</a>","<p class=""description"">Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home</p>","<h4 class=""pull-right price"">$1144.20</h4>"
71,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/597"" title=""Dell Latitude 5580"">Dell Latitude 55...</a>","<p class=""description"">Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1144.40</h4>"
72,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/540"" title=""Lenovo Legion Y520-15IKBM"">Lenovo Legion Y5...</a>","<p class=""description"">Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS</p>","<h4 class=""pull-right price"">$1149.00</h4>"
73,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/598"" title=""MSI GP62M 7RDX Leopard"">MSI GP62M 7RDX L...</a>","<p class=""description"">MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1149.00</h4>"
74,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/599"" title=""Lenovo Yoga 720 Grey"">Lenovo Yoga 720...</a>","<p class=""description"">Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1149.73</h4>"
75,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/600"" title=""Toshiba Portege Z30-C-16L Grey"">Toshiba Portege...</a>","<p class=""description"">Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1154.04</h4>"
76,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/601"" title=""Acer TravelMate P645-S-511A Black"">Acer TravelMate...</a>","<p class=""description"">Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1170.10</h4>"
77,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/602"" title=""Dell Latitude 5580"">Dell Latitude 55...</a>","<p class=""description"">Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home</p>","<h4 class=""pull-right price"">$1178.19</h4>"
78,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/518"" title=""ThinkPad T540p"">ThinkPad T540p</a>","<p class=""description"">15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit</p>","<h4 class=""pull-right price"">$1178.99</h4>"
79,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/603"" title=""MSI GS63 7RD Stealth"">MSI GS63 7RD Ste...</a>","<p class=""description"">MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home</p>","<h4 class=""pull-right price"">$1179.00</h4>"
80,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/604"" title=""Dell Latitude 5480"">Dell Latitude 54...</a>","<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro</p>","<h4 class=""pull-right price"">$1187.88</h4>"
81,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/605"" title=""Acer Predator Helios 300 (PH317-51)"">Acer Predator He...</a>","<p class=""description"">Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home</p>","<h4 class=""pull-right price"">$1187.98</h4>"
82,"<a class=""title"" href=""/test-sites/e-commerce/allinone/product/606"" title=""MSI GL62M 7REX"">MSI GL62M 7REX</a>","<p class=""description"">MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home</p>","<h4 class=""pull-right price"">$1199.00</h4>"
